"","kappa","C","LR","modelR","LRstar","diversity"
"1581-PDU-53_R1_trim",0.55284,0.581708101110991,3502709956.17601,0.999757391389901,250402257141.189,21.0653271718295
"1581-PDU-54_R1_trim",0.66824,0.691778933959397,3451354683.32,0.999570840990814,60498118739.4274,20.3674164140071
"1581-PDU-55_R1_trim",0.56722,0.59552424162025,4547780162.256,0.999671208068535,600408146964.438,20.9987859311334
"1581-PDU-56_R1_trim",0.63053,0.6560049230043,3322510766.924,0.999676642345747,70143480424.6628,20.6572740611629
"1581-PDU-57_R1_trim",0.52587,0.555711599921524,3536808323.664,0.999619287668424,177715284958.102,21.371623653686
"1581-PDU-59_R1_trim",0.657,0.681134570400836,3433795059.405,0.999632840042701,82995136845.7758,20.3313386008936
"1581-PDU-5_R1_trim",0.66414,0.687897998543768,3351757577.472,0.999709178375346,84894488320.7544,20.22335590317
"1581-PDU-60_R1_trim",0.74752,0.766436424158123,4636181711.56,0.999666251237018,47206354265.5875,19.9904139113706
"1581-PDU-61_R1_trim",0.65738,0.681494687216625,3540077989.41601,0.999640830633774,93400062732.4688,20.3206226595157
"1581-PDU-62_R1_trim",0.69657,0.718540100196225,3891264514.25599,0.999617792332984,73892159786.356,20.0554350985848
"1581-PDU-63_R1_trim",0.65593,0.68012046112562,3770984843.01,0.999600953604654,107445387140.445,20.3403817485024
"1581-PDU-64_R1_trim",0.69148,0.713738967911426,3535884120.79001,0.999598008297666,53519564925.1756,20.2047938187733
"1581-PDU-65_R1_trim",0.66958,0.693046893301626,3247217276.63999,0.999630338251726,82216877090.4737,20.082764265924
"1581-PDU-66_R1_trim",0.69248,0.714682454789694,3403514116.72,0.999599564350422,52926935905.22,20.1477167669251
"1581-PDU-67_R1_trim",0.4374,0.469591515973198,3405462176.832,0.999742077735405,1222720995587.06,21.8691217187156
"1581-PDU-68_R1_trim",0.64975,0.67426048123263,3864490605.54,0.999687107018351,54306132297.3033,20.8336009740327
"1581-PDU-69_R1_trim",0.68348,0.706186838622145,4357468457.86899,0.999660122584981,112899107896.424,20.2390854300797
"1581-PDU-6_R1_trim",0.70375,0.725307505235648,3197936070.428,0.999627384327942,41644903334.7176,20.0586438881317
"1581-PDU-70_R1_trim",0.81425,0.828746912000399,12619014027.75,0.999836658547277,65406197390.1895,20.5542333741009
"1581-PDU-71_R1_trim",0.57662,0.604539360962362,3627872266.656,0.999734983120326,167016532894.889,20.9820519311868
"1581-PDU-72_R1_trim",0.66134,0.685246421745538,3351651469.83201,0.999597260759658,65480923562.8076,20.3609369834444
"1581-PDU-73_R1_trim",0.6082,0.634735209025982,3525165498.66999,0.999744799054244,217436201934.057,20.5383615373483
"1581-PDU-74_R1_trim",0.66414,0.687897998543768,3051744485.633,0.999538634589445,58192651237.278,20.2354189897052
"1581-PDU-75_R1_trim",0.62283,0.648677963453602,3573917574.44999,0.999642244826321,123855954402.827,20.6031158745187
"1581-PDU-76_R1_trim",0.70731,0.728660729671795,4628820475.272,0.999547220340015,65575111885.0973,20.2998986794155
"1581-PDU-77_R1_trim",0.49713,0.52788247359226,5164034222.12999,0.999488353520948,1958374123669.1,21.829160412736
"1581-PDU-78_R1_trim",0.64804,0.67263818676562,3194829524.376,0.999581008858069,63632354177.8498,20.44028851742
"1581-PDU-79_R1_trim",0.64621,0.670901639759254,5203894516.5,0.999774418161226,168059583720.788,20.7975144541219
"1581-PDU-7_R1_trim",0.71987,0.740479684493882,2799675893.886,0.99861186631514,83519658338.9911,18.9633332383153
"1581-PDU-80_R1_trim",0.75579,0.774183830268862,4461203765.76,0.999625145096545,35104006247.5998,20.0661373029558
"1581-PDU-81_R1_trim",0.6693,0.692781964598142,5383255022.71798,0.999637018187233,151387989317.661,20.5827674788522
"1581-PDU-82_R1_trim",0.73663,0.75622333156638,4293582504.948,0.999664505052016,43720977682.4118,20.1222750004502
"1581-PDU-83_R1_trim",0.58544,0.61298675444834,5191288127.52901,0.999590388579194,300901917095.593,21.1553056863622
"1581-PDU-84_R1_trim",0.60934,0.635822683640483,3627524569.54001,0.999459261186587,103384273128.66,20.7868952841382
"1581-PDU-85_R1_trim",0.5557,0.584458390647756,3208985044.436,0.999634426701881,411742084219.941,20.7641521656899
"1581-PDU-86_R1_trim",0.6491,0.673643862843785,2942842563.711,0.999588900060165,56886605497.2787,20.3747965150698
"1581-PDU-87_R1_trim",0.57955,0.607346803912457,3361371218.54799,0.999892827891665,293511817282.646,20.7528282427416
"1581-PDU-88_R1_trim",0.66036,0.68431814227765,3163809615.68899,0.999381155907865,61423134904.8625,20.2713598679161
"1581-PDU-8_R1_trim",0.69383,0.715955976513794,3055075002.63,0.999753877175234,51764387178.7628,19.983668733934
"1581-PDU-94_R1_trim",0.99588,0.99623315984075,3466020801.264,0.996682746234141,272867875.375516,16.7675516828758
"1581-PDU-9_R1_trim",0.6243,0.650077344579916,3454879665.52599,0.999652575280269,115578384921.418,20.5589466207703
